state,age
Alabama,39.6
Alaska,36.5
Arizona,39.3
Arkansas,38.9
California,38.2
Colorado,37.9
Connecticut,41.5
Delaware,42
District of Columbia,34.9
Florida,42.8
Georgia,37.9
Hawaii,41.4
Idaho,37.8
Illinois,39.5
Indiana,38.3
Iowa,39.1
Kansas,37.9
Kentucky,39.2
Louisiana,38.7
Maine,44.9
Maryland,39.8
Massachusetts,40.3
Michigan,40.5
Minnesota,39.1
Mississippi,39.3
Missouri,39.3
Montana,40.6
Nebraska,37.4
Nevada,39.4
New Hampshire,43.4
New Jersey,40.4
New Mexico,39.9
New York,40.2
North Carolina,39.4
North Dakota,36.3
Ohio,39.9
Oklahoma,37.1
Oregon,40.7
Pennsylvania,41.1
Rhode Island,40.8
South Carolina,40.5
South Dakota,38.5
Tennessee,39.1
Texas,35.9
Utah,32.3
Vermont,43.7
Virginia,39.3
Washington,38.6
West Virginia,42.8
Wisconsin,40.5
Wyoming,39.3
